Ulasan;produk;;;;;;;;;;;
Dicas bukan makin nambah malah makin berkurang harus bagaimana ya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X15;;;;;;;;;;;
Kalau ga niat jualan gausah jualan barang rusak dijual di ces bluetooth kaga ngisi apaan pantes harga murah barang murahan ini sudah ada buktinya pertama buka;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X16;;;;;;;;;;;
Ga bisa nyala dan ga bisa di cas sudah percaya beli malah mengecewakan datangnya juga lama pengemasan lama 2 hari baru di kasih ke ekpedisi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X17;;;;;;;;;;;
Maaf kak ini maksudnya gimana ya?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X18;;;;;;;;;;;
Barang sudah sampai; kotak aman packingan rapih sampai susah buka. Barangnya pun keliatan bagus; tapi waktu di charge daya gak masuk.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X19;;;;;;;;;
Kecewa g idup satu irphone nya admin nya g fast respon baget😤😤;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X46;;;;;;;;;;;
Bagus.. cuma yang sebelah kanan mati total tidak ada suara sama sekali.. pengirim cepat;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X47;;;;;;;;;;;
Dateng² batrei  11% dicharge udah 3 jam gk nambah² gimana si kak ampas banget nyesel gw beli;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X48;;;;;;;;;;;
Mohon maaf ini mim g mau di gunakan dan g mau di cas mim bagi mana ya;klo bisa di tambahin lagi mim untuk packagingnya mim g bisa di gunakan sama sekali;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X49;;;;;;;;;;
Gimana kok angka nya ga nyala sbelah gimna;trus di pake game suara tembaknya telat di pencet 4 kali ga ganti mode jadi gimna dong ?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X50;;;;;;;;;;
tidak sesuai pesanan ada bagian ild indikator batyang ter potong dan saya tidak bisa mengetahui berapa persen baterai yang ada di tws ini;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X51;;;;;;;;;;;
suaranya kurang bulet. bass nya nggak berasa. bahan karet eartip nya kurang sip.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X52;;;;;;;;;;;
Masa yang nyala cuman sebelah; sebelah lagi gaada suaranya; kecewaa;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X53;;;;;;;;;
Toko gajelas yang dikirm barang rusak !! Gabisa di gunain;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X54;;;;;;;;;;;
Barang nya bagus cuman agak kecewa Disni pesan tertulis headset gaming tapi mana? Gmna ini owner nya suara headset nya delay kalo di pake main game gmna ini owner? Saya a...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X55;;;;;;;;;;;
Satu rusak satunya bagus dari ashar 0%;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X56;;;;;;;;;;;
Dari tampilan bagus;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X57;;;;;;;;;;;
Suara jernih cmn sayang ;sebelah kanan nya gk nyala;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X58;;;;;;;;;;
Bukan si Oren jadi gaada COD cek dulu;hati hati takut TWS nya kaya saya yang aktif sebelah doang 🥴😴🥱;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X59;;;;;;;;;;
Kasing kurang rapi; suara oke lah;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X60;;;;;;;;;;
Volume gede belah yang belah nya kecil;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X61;;;;;;;;;;;
Volume yg kecil nya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X62;;;;;;;;;;;
Brngnya bru smpai kmrn; suarany oke; dua2nya hidup. Cmn yg kanan batrai nya suka habis duluan; padahal ngecas nya barengan. Suka Keganggu lagi main gme tiba-tiba twsnya m...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X63;;;;;;;;
Barang sudah sampai pas di coba sedikit delay saat bermain game;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X64;;;;;;;;;;;
Pa ngeces nya gx masuk masuk MSA di ces dari pagitetep dpat 22 persen;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X65;;;;;;;;;;;
Kok sobek?... pengirimannya lambat;dan posisi headsetnya GX rapih..sedikit kecewa;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X66;;;;;;;;;;
datang datang barang seperti ini satunya kebuka terus g bisa di pasang lagi suaranya g terlalu kedengaran;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X67;;;;;;;;;;;
Yg satu nyLa yg satu ga nyala;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X68;;;;;;;;;;;
Aneh banget pas baru dateng dicobain 2 telingan suka error yang 1 ga ada suaranya langsung ada gitu terus aneh; udah gitu sekarang di cas udah 2 jam setengah masa 0 terus...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X69;;;;;;;;;;
headset nya masih jalan tapi baru pake 5 hari kok ngak bisa di cas lagi; mana persen baterai nya ngak nambah ; tolong kak minta solusi kayak gimana?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X70;;;;;;;;;
Ngga bisa di cas jadinya ngga bisa di pakai lagi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X71;;;;;;;;;;;
Di bagian headsetnya tidak ada karetnya saya harap kedepannya bisa di perbaiki;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X72;;;;;;;;;;;
Barang nya SDH saya terima;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X73;;;;;;;;;;;
Tapi di pakek bluthoot TDK mau nyambung ke HP;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X74;;;;;;;;;;;
Aku gak tau apa emang pas bagian ku yang gini; cuman setengah jam bisa di nyalain; aku udah cas seharian dan semalam; gak bisa nyala lagi; uang 34;500 itu sia sia begitu...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X75;;;;;;
Ini kenapa udah gak bisa di pakai padahal baru di pake sehari dan gak bisa di cas kualitas naya sangat buruk jangan  di beli;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X76;;;;;;;;;;;
Lampu gak bisa suara satu doang yang bisa;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X77;;;;;;;;;;;
saya mau nanya ini yg sebelah nya kok ga ada suaranya juga mati yg hidup yg kiri doang kok bisa ya padahal saya baru nerima paket nya? tolong jelaskan;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X78;;;;;;;;;;;
HALAH BARU BUKA BANGET PAS DICOBA YANG SEBELAH KANAN MATI KOCAK;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X79;;;;;;;;;;;
dari awal stak di 0 persen Udah gw ulang ulang tetep gabisa ke cas produk dngo lawak gausah di beli;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X80;;;;;;;;;;;
Jlek banget masa penggunaan 3 hari besoknya off off terus padahal udh di cas dan di cek batre masih banyak pun tetep aja low;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X81;;;;;;;;;;;
Apa² an  yang Dateng malah rusakk baterai 70 ; barang doang nyala udah terhubung juga ke bluetooth tapi suara nya ga ada;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X82;;;;;;;;;;
Bosku ko mati sebelah gak idup;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X83;;;;;;;;;;;
Produk rusak; tidak nyala saat di cas bar 100% tapi tidak bisa di pake atau di sambungkan ke bluetooth;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X84;;;;;;;;;;
Performa: Sering gak singkron kanan kirinya dan tiba tiba mati putus putus suaranya kurang rekomen sih menurut ku;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X85;;;;;;;;;;;
D cas gak nyala SMA sekali nyesel beli d toko ini jualannya  GX  jujur. Bro jangan ngerugiiin orang . Jangan beli d sini bro kapok gue;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X86;;;;;;;;;;;
Kecewa yg sebelah kiri tidak ada suaranya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X87;;;;;;;;;;;
apa ini; baru datang pas di tes kok tws nya ga nyala nyala; udah ngikutin tutorial di yt; kok ga nyala; mahal mahal beli tapi ga nyala; bisa ganti yang baru ga?!!;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X88;;;;;;
Butut asu bilang nya di tes dulu baru kirim yeuh dateng nyala satu mana gabisa di pencet ti ati aja bray yang mau beli;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X89;;;;;;;;;;;
Suaranya banyak greseknya nggak nyaman dengernya . Gimana sih jualan tuh nggak;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X90;;;;;;;;;;;
Kenapa ni ko cuma bisa nyala satu airphone nya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X91;;;;;;;;;;;
Tws nya rusak ga nyala 1 gimana sih ini penjual Dateng juga rusak kaya gini;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X92;;;;;;;;;;;
Sudah di cas tapi LED dan RGB gak bisa nyala;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X93;;;;;;;;;;;
Kualitas sangat buruk dan suara bas nya juga kaya biasa aja kaya hedset 10rbuan udh gitu di cas ga masuk²;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X94;;;;;;;;;;;
Kurang bagus barang nya batrai nya cepat habis dan handset nya gak mau di cass;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X95;;;;;;;;;;;
Barang tidak sesuai pesanan ; masa iyah yang datang cuman casan nya aja;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X96;;;;;;;;;;
Tolong di respon ka;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X97;;;;;;;;;;;
Nyesel saya belanja di toko ini;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X98;;;;;;;;;;;
Kalo gak di balikin uang nya atau gak di kir...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X99;;;;;;;;;;;
Barangnya nyala saat dicas tapi headset nya gak ke isi hanya case tws nya yg ke isi mau minta pengembalian dana tapi lupa di video unboxing tolong di ganti barangnya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X100;;;;;;;;;;;
Baru dipake sehari besoknya langsung mati njirr; ngecas ga masuk ke twsnya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X101;;;;;;;;;;
Yang nyala sebelah doang seller respon cuek;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X102;;;;;;;;;;;
Batre nya cepet habis; untuk suara lumayan lah;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X103;;;;;;;;;;
lumayan bagus untuk barang nya;tapi belum di coba;lagi di cas dulu;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X104;;;;;;;;;
Barangnya seperti bekas; dipakai 3 hari sdh ada masalah charging... Seller not recommended at all...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X105;;;;;;;;;;
TIDAK DAPAT MENYANDING ATAU TIDAK DAPAT BERFUNGSI;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X106;;;;;;;;;;;
Cepet banget rusaknya; sebelah mati + suara delay; ga rekom deh guys;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X107;;;;;;;;;
Barang jelek belum 1 minggu di cas tidak masuk;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X108;;;;;;;;;;;
Bg TWS nya boros batre nya bg Gimana ya bg udah 2 jam man aku cas malah sebentar habis batre nya bg knp ya bg?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X109;;;;;;;;;;;
Bagus sih cuma cepet lobet kak mohon di perbaiki lagi;;🙏;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X110;;;;;;;;;
BARANG CACAT PENJUAL ***** 1 nyala 1 nya lagi ngak padahal belum di pakai samsek baru juga di ambil dari wadah nya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X111;;;;;;;;;;;
KK tolong dog jelasin .ini gmn cry makey ..nm blutooth ngga Nemu;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X112;;;;;;;;;;;
Tws nya sudah sampai tapi nggak bisa perangkat nya masuk ke hp..bisa di nggak bg🙏😓;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X113;;;;;;;;;;;
Tidak mau di cas; dan tidak sama seperti di gambar;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X114;;;;;;;;;;
Kacaw; ketahanan baterai gk sampe 40menit pdahal kondisi masih baru dan baterai 100%;suara putus2;dari awal dgn juga udh curiga box nya beda dari ulasan yg bintang 5;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X115;;;;;;;;
USB Charger nya kaga masuk masuk;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X116;;;;;;;;;;;
Barangnya tidak bisa di pakai . Tolong jangan kasih yang cacat yah kak.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X117;;;;;;;;;;;
Gak sesuai dengan yang d omongin;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X118;;;;;;;;;;;
Diley bet suaranya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X119;;;;;;;;;;;
Ini kenapa ya ga menyala saat di cas ?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X120;;;;;;;;;;;
Jelek jangan beli masa di deskripsi buat game tapi diley;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X121;;;;;;;;;;;
Barangnya bagus cman cepat lowbet;;belum setenga jm udah habis batereinya;;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X122;;;;;;;;
Gua saranin jangan bli di sini rusak pas datang barang nya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X123;;;;;;;;;;;
Gk sesuai banget sii ini bda jauh banget;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X124;;;;;;;;;;;
Suara nya dile banget;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X125;;;;;;;;;;;
ya masa begini pas ditaro; ga niat bikin apa gmn? ga usah jualan...murah sih emang...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X126;;;;;;;;;;
Wduh nysll bgtt udh mh ilang satu suara dily laagi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X127;;;;;;;;;;;
Tidak amanah;; spekerx 1 mate;; tolong lebih tanggung jawab lgi klu jualan y;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X128;;;;;;;
Tidak ada suaranya sebelah kiri;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X129;;;;;;;;;;;
barangnya ada kerusakan tapi untuk suaara aman sih;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X130;;;;;;;;;;;
Barang mati; di charge gak masuk;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X131;;;;;;;;;;
Mati sebelahh;yang kiri ngga mau hidup;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X132;;;;;;;;;;
barang jelek;bisa konek dan of sendiri;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X133;;;;;;;;;;
Satu bagus; satunya lagi gak berfungsi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X134;;;;;;;;;;
bungkusan seperti sudah dibuka terlebib dahulu; not recomend;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X135;;;;;;;;;;
Baru sehari udah mati aja🤦🤦🤦🤦🤭🤭;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X136;;;;;;;;;;;
Barang nya nyampe dengan selamat tpi yg satu TDK berpungsi kenapa?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X137;;;;;;;;;;;
Lobang buat ngecas karat kaya second;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X138;;;;;;;;;;;
Batre cepat habis; gk berkualitas;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X139;;;;;;;;;;
barang mati kok di jual anjing;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X140;;;;;;;;;;;
